,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
29484,SIA377,SQ377,76cda5,9V-SME,A359,LEBL,LIMC,2021-07-01 09:06:37+00:00,2021-07-01 10:16:15+00:00,2021-07-01 00:00:00+00:00,41.28648376464844,2.08648681640625,-304.8,45.62379455566406,8.735269686070884,213.36
29516,AZA9407,AZ9407,4ca987,EI-ISD,B772,KJFK,LIMC,2021-07-01 09:07:22+00:00,2021-07-01 16:11:18+00:00,2021-07-01 00:00:00+00:00,40.63544839115466,-73.77512845126068,0.0,45.62576293945312,8.724149378334605,213.36
29713,SVA213,,71007f,HZ-ASE,A320,,LIMC,2021-07-01 09:11:25+00:00,2021-07-01 12:52:27+00:00,2021-07-01 00:00:00+00:00,29.44638527045815,32.36453785615809,11582.4,45.61430333024364,8.737907409667969,251.46
30207,VPBLU,,424625,,,LIEO,LIMC,2021-07-01 09:22:18+00:00,2021-07-01 10:12:06+00:00,2021-07-01 00:00:00+00:00,40.86769750562765,9.459041248668324,914.4,45.62342834472656,8.735403665682165,220.98
30219,WZZ1AB,,471f3c,,,LICC,LIMC,2021-07-01 09:22:30+00:00,2021-07-01 11:00:40+00:00,2021-07-01 00:00:00+00:00,37.48805236816406,15.23096612159242,1219.2,45.61935424804688,8.72595810308689,228.6
31019,FDX7,,abcf58,N860FD,B77L,OMDB,LIMC,2021-07-01 09:40:39+00:00,2021-07-01 15:41:29+00:00,2021-07-01 00:00:00+00:00,25.25012000132415,55.37663873636498,0.0,45.63245870299258,8.732894897460938,220.98
31086,WZZ5562,,471f3d,,,LLBG,LIMC,2021-07-01 09:42:17+00:00,2021-07-01 13:34:47+00:00,2021-07-01 00:00:00+00:00,32.01336876820709,34.86354282924107,0.0,45.62045288085938,8.736207543349849,228.6
31240,RYR6XK,,4ca4ee,EI-DPJ,B738,LEBL,LIMC,2021-07-01 09:46:00+00:00,2021-07-01 10:55:20+00:00,2021-07-01 00:00:00+00:00,41.27243041992188,2.0643310546875,304.8,45.62254307633739,8.735641479492188,220.98
31777,EJU61VM,,44028c,,,,LIMC,2021-07-01 09:58:10+00:00,2021-07-01 11:32:14+00:00,2021-07-01 00:00:00+00:00,37.66328430175781,15.41633118974402,3352.8,45.61514127052436,8.737701416015625,9144.0
32578,TAR756,TU756,02a190,TS-IMQ,A319,,LIMC,2021-07-01 10:14:05+00:00,2021-07-01 11:34:15+00:00,2021-07-01 00:00:00+00:00,37.22589111328125,10.09614335729721,3657.6,45.62338256835938,8.735403665682165,213.36
33732,RYR3TU,,4d2217,9H-QBL,B738,LIBD,LIMC,2021-07-01 10:36:00+00:00,2021-07-01 11:58:44+00:00,2021-07-01 00:00:00+00:00,41.1370022014036,16.75521157004616,0.0,45.62031555175781,8.736274533155488,220.98
34160,VLG9436,VY9436,3451d4,EC-MKN,A320,LFPO,LIMC,2021-07-01 10:44:25+00:00,2021-07-01 11:48:07+00:00,2021-07-01 00:00:00+00:00,48.72892735368114,2.342256244860197,0.0,45.62960815429688,8.733661930735519,228.6
34317,EJU62GH,,440248,,,LIEE,LIMC,2021-07-01 10:47:14+00:00,2021-07-01 11:55:36+00:00,2021-07-01 00:00:00+00:00,39.26029528601695,9.04425048828125,0.0,45.62477758375265,8.724449157714844,228.6
